PBANKA	CITH	DOZI	DOZI/CITH
PBANKA_136360	0	1	1
PBANKA_140290	0	1	1
PBANKA_141010	0	1	1
PBANKA_141350	0	1	1
PBANKA_142920	0	1	1
PBANKA_143060	0	1	1
PBANKA_143580	0	1	1
PBANKA_144780	0	1	1
PBANKA_145220	0	1	1
PBANKA_145550	0	1	1
PBANKA_061530	1	0	1
PBANKA_101870	1	0	1
PBANKA_103890	1	0	1
PBANKA_134700	1	0	1
PBANKA_131310	1	0	1
PBANKA_146240	0	1	1
PBANKA_021130	0	1	1
PBANKA_146070	0	1	1
PBANKA_092300	0	1	1
PBANKA_040720	0	1	1
PBANKA_052420	0	1	1
PBANKA_103190	0	1	1
PBANKA_133430	0	1	1
PBANKA_124710	0	1	1
PBANKA_131070	0	1	1
PBANKA_130970	0	1	1
PBANKA_071840	0	1	1
PBANKA_136440	0	1	1
PBANKA_093890	0	1	1
PBANKA_050420	0	1	1
PBANKA_030440	0	1	1
PBANKA_010300	0	1	1
PBANKA_131830	0	1	1
PBANKA_122690	0	1	1
PBANKA_030720	0	1	1
PBANKA_020410	0	1	1
PBANKA_135060	0	1	1
PBANKA_041630	0	1	1
PBANKA_010740	0	1	1
PBANKA_093170	0	1	1
PBANKA_051620	0	1	1
PBANKA_112810	0	1	1
PBANKA_020460	0	1	1
PBANKA_122250	0	1	1
PBANKA_000110	0	1	1
PBANKA_011090	0	1	1
PBANKA_111420	0	1	1
PBANKA_113630	0	1	1
PBANKA_051240	0	1	1
PBANKA_040780	0	1	1
PBANKA_103780	0	1	1
PBANKA_122200	0	1	1
PBANKA_141880	0	1	1
PBANKA_134980	0	1	1
PBANKA_144500	0	1	1
PBANKA_112980	0	1	1
PBANKA_093230	0	1	1
PBANKA_142390	0	1	1
PBANKA_130380	0	1	1
PBANKA_062170	0	1	1
PBANKA_114570	0	1	1
PBANKA_062010	0	1	1
PBANKA_082190	0	1	1
PBANKA_080600	0	1	1
PBANKA_051770	0	1	1
PBANKA_141390	0	1	1
PBANKA_090950	1	0	1
PBANKA_051980	1	0	1
PBANKA_123990	1	0	1
PBANKA_123560	1	0	1
PBANKA_103240	1	0	1
PBANKA_123330	1	0	1
PBANKA_010050	1	0	1
PBANKA_060030	1	0	1
PBANKA_146530	1	0	1
PBANKA_145260	1	0	1
PBANKA_094140	1	0	1
PBANKA_123430	1	0	1
PBANKA_134430	1	0	1
PBANKA_111460	1	0	1
PBANKA_010150	1	0	1
PBANKA_010180	1	0	1
PBANKA_010190	1	0	1
PBANKA_010400	1	0	1
PBANKA_011060	1	0	1
PBANKA_011080	1	0	1
PBANKA_011140	1	0	1
PBANKA_020500	1	0	1
PBANKA_020820	1	0	1
PBANKA_021370	1	0	1
PBANKA_030070	1	0	1
PBANKA_030100	1	0	1
PBANKA_030290	1	0	1
PBANKA_041780	1	0	1
PBANKA_050330	1	0	1
PBANKA_050770	1	0	1
PBANKA_050830	1	0	1
PBANKA_051000	1	0	1
PBANKA_051040	1	0	1
PBANKA_051290	1	0	1
PBANKA_051420	1	0	1
PBANKA_051940	1	0	1
PBANKA_052370	1	0	1
PBANKA_060580	1	0	1
PBANKA_060750	1	0	1
PBANKA_061490	1	0	1
PBANKA_061560	1	0	1
PBANKA_061640	1	0	1
PBANKA_070340	1	0	1
PBANKA_071280	1	0	1
PBANKA_071770	1	0	1
PBANKA_080040	1	0	1
PBANKA_080720	1	0	1
PBANKA_081550	1	0	1
PBANKA_082260	1	0	1
PBANKA_082460	1	0	1
PBANKA_082760	1	0	1
PBANKA_083040	1	0	1
PBANKA_083500	1	0	1
PBANKA_083570	1	0	1
PBANKA_090800	1	0	1
PBANKA_091290	1	0	1
PBANKA_093750	1	0	1
PBANKA_100350	1	0	1
PBANKA_100500	1	0	1
PBANKA_100560	1	0	1
PBANKA_100790	1	0	1
PBANKA_101270	1	0	1
PBANKA_101280	1	0	1
PBANKA_101730	1	0	1
PBANKA_101920	1	0	1
PBANKA_102480	1	0	1
PBANKA_103180	1	0	1
PBANKA_103330	1	0	1
PBANKA_103970	1	0	1
PBANKA_110210	1	0	1
PBANKA_110530	1	0	1
PBANKA_111690	1	0	1
PBANKA_112460	1	0	1
PBANKA_113070	1	0	1
PBANKA_113130	1	0	1
PBANKA_113800	1	0	1
PBANKA_113950	1	0	1
PBANKA_120180	1	0	1
PBANKA_120350	1	0	1
PBANKA_121060	1	0	1
PBANKA_121330	1	0	1
PBANKA_121490	1	0	1
PBANKA_122590	1	0	1
PBANKA_123500	1	0	1
PBANKA_123830	1	0	1
PBANKA_124440	1	0	1
PBANKA_130700	1	0	1
PBANKA_131530	1	0	1
PBANKA_131590	1	0	1
PBANKA_132250	1	0	1
PBANKA_133110	1	0	1
PBANKA_134250	1	0	1
PBANKA_135310	1	0	1
PBANKA_135360	1	0	1
PBANKA_135950	1	0	1
PBANKA_140520	1	0	1
PBANKA_141720	1	0	1
PBANKA_142080	1	0	1
PBANKA_142140	1	0	1
PBANKA_142150	1	0	1
PBANKA_142300	1	0	1
PBANKA_144710	1	0	1
PBANKA_145080	1	0	1
PBANKA_145110	1	0	1
PBANKA_101760	1	0	1
PBANKA_130570	1	0	1
PBANKA_092140	1	0	1
PBANKA_140330	1	0	1
PBANKA_010580	1	0	1
PBANKA_092500	1	0	1
PBANKA_093270	1	0	1
PBANKA_041540	0	1	1
PBANKA_121800	1	0	1
PBANKA_072080	0	1	1
PBANKA_060460	1	0	1
PBANKA_000370	0	1	1
PBANKA_000520	1	0	1
PBANKA_122220	1	0	1
PBANKA_142440	1	0	1
PBANKA_103230	1	0	1
PBANKA_060080	1	0	1
PBANKA_132630	1	0	1
PBANKA_031270	1	0	1
PBANKA_041520	1	0	1
PBANKA_102890	1	0	1
PBANKA_130190	1	0	1
PBANKA_070810	1	0	1
PBANKA_093360	1	0	1
PBANKA_120260	1	0	1
PBANKA_123250	1	0	1
PBANKA_050430	1	0	1
PBANKA_040470	1	0	1
PBANKA_041040	1	0	1
PBANKA_121030	1	0	1
PBANKA_140790	1	0	1
PBANKA_061090	1	0	1
PBANKA_093600	1	0	1
PBANKA_142880	1	0	1
PBANKA_135860	1	0	1
PBANKA_120820	1	0	1
PBANKA_011020	1	0	1
PBANKA_122020	1	0	1
PBANKA_090130	1	0	1
PBANKA_120780	1	0	1
PBANKA_101020	1	0	1
PBANKA_051580	1	0	1
PBANKA_020440	1	0	1
PBANKA_124070	1	0	1
PBANKA_080560	1	0	1
PBANKA_130030	1	0	1
PBANKA_100730	1	0	1
PBANKA_080930	1	0	1
PBANKA_093580	1	0	1
PBANKA_060140	1	0	1
PBANKA_100480	1	0	1
PBANKA_112870	1	0	1
PBANKA_101450	1	0	1
PBANKA_031610	1	0	1
PBANKA_000590	1	0	1
PBANKA_133720	1	0	1
PBANKA_131720	1	0	1
PBANKA_121020	1	0	1
PBANKA_092470	1	0	1
PBANKA_040100	1	0	1
PBANKA_000160	1	0	1
PBANKA_091460	1	0	1
PBANKA_061370	1	0	1
PBANKA_081770	1	0	1
PBANKA_141920	1	0	1
PBANKA_113570	1	0	1
PBANKA_081900	1	0	1
PBANKA_110300	1	0	1
PBANKA_030510	1	0	1
PBANKA_131370	1	0	1
PBANKA_141360	1	0	1
PBANKA_093250	1	0	1
PBANKA_136300	1	0	1
PBANKA_081100	1	0	1
PBANKA_102790	1	0	1
PBANKA_102320	1	0	1
PBANKA_113680	1	0	1
PBANKA_112240	1	0	1
PBANKA_101850	1	0	1
PBANKA_130580	1	0	1
PBANKA_131970	1	0	1
PBANKA_123690	1	0	1
PBANKA_134160	1	0	1
PBANKA_093990	1	0	1
PBANKA_060760	1	0	1
PBANKA_101770	1	0	1
PBANKA_124200	1	0	1
PBANKA_091060	1	0	1
PBANKA_102290	1	0	1
PBANKA_123760	1	0	1
PBANKA_071430	0	1	1
PBANKA_123400	0	1	1
PBANKA_090890	0	1	1
