Geneid	groups	description
PBANKA_0619500	1	conserved Plasmodium protein, unknown function
PBANKA_0700081	1	PIR protein
PBANKA_0701200	1	conserved Plasmodium protein, unknown function
PBANKA_0702900	1	SET domain protein, putative
PBANKA_0703500	1	conserved Plasmodium protein, unknown function
PBANKA_0704300	1	SPRY domain, putative
PBANKA_0704400	1	alpha/beta hydrolase, putative
PBANKA_0704500	1	HECT-like E3 ubiquitin ligase, putative
PBANKA_0705600	1	conserved Plasmodium protein, unknown function
PBANKA_0706300	1	GTP-binding protein Obg2, putative
PBANKA_0708400	1	small nuclear ribonucleoprotein G, putative
PBANKA_0709100	1	60S ribosomal protein L22, putative
PBANKA_0712900	1	high mobility group protein B2
PBANKA_0713600	1	conserved protein, unknown function
PBANKA_0714100	1	trafficking protein particle complex subunit 2-like protein, putative
PBANKA_0714600	1	vacuolar protein sorting-associated protein 2, putative
PBANKA_0716100	1	conserved Plasmodium protein, unknown function
PBANKA_0716200	1	calmodulin-like protein, putative
PBANKA_0717000	1	arsenical pump-driving ATPase, putative
PBANKA_0718500	1	repressor of RNA polymerase III transcription MAF1, putative
PBANKA_0718600	1	prohibitin-like protein PHBL
PBANKA_0719100	1	conserved Plasmodium protein, unknown function
PBANKA_0719800	1	conserved Plasmodium protein, unknown function
PBANKA_0719900	1	cdc2-related protein kinase 1
PBANKA_0721200	1	conserved Plasmodium protein, unknown function
PBANKA_0721500	1	conserved Plasmodium protein, unknown function
PBANKA_0800041	1	fam-a protein, pseudogene
PBANKA_0800700	1	conserved Plasmodium protein, unknown function
PBANKA_0800900	1	conserved Plasmodium protein, unknown function
PBANKA_0802500	1	protein phosphatase PPM12, putative
PBANKA_0802600	1	peptide chain release factor 2, putative
PBANKA_0802900	1	conserved Plasmodium protein, unknown function
PBANKA_0803200	1	inositol-phosphate phosphatase, putative
PBANKA_0803700	1	conserved Plasmodium protein, unknown function
PBANKA_0804700	1	conserved Plasmodium protein, unknown function
PBANKA_0806700	1	conserved Plasmodium protein, unknown function
PBANKA_0807200	1	conserved Plasmodium protein, unknown function
PBANKA_0807400	1	26S proteasome non-ATPase regulatory subunit 9, putative
PBANKA_0808700	1	GTPase-activating protein, putative
PBANKA_0808900	1	ATP-dependent protease ATPase subunit ClpY, putative
PBANKA_0810000	1	mitochondrial carrier protein, putative
PBANKA_0812200	1	conserved protein, unknown function
PBANKA_0812600	1	conserved Plasmodium protein, unknown function
PBANKA_0812900	1	conserved Plasmodium protein, unknown function
PBANKA_0813300	1	conserved protein, unknown function
PBANKA_0813800	1	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative
PBANKA_0814100	1	heptatricopeptide repeat-containing protein, putative
PBANKA_0814600	1	conserved Plasmodium protein, unknown function
PBANKA_0815400	1	protein KIC3, putative
PBANKA_0815700	1	major facilitator superfamily-related transporter, putative
PBANKA_0815900	1	BSD-domain protein, putative
PBANKA_0816300	1	heptatricopeptide repeat-containing protein, putative
PBANKA_0818300	1	conserved protein, unknown function
PBANKA_0818800	1	conserved Plasmodium protein, unknown function
PBANKA_0820100	1	PPPDE peptidase, putative
PBANKA_0821100	1	CS domain protein, putative
PBANKA_0821200	1	conserved Plasmodium protein, unknown function
PBANKA_0821600	1	CRAL/TRIO domain-containing protein, putative
PBANKA_0822200	1	conserved protein, unknown function
PBANKA_0823100	1	S-adenosylmethionine synthetase, putative
PBANKA_0824300	1	conserved Plasmodium protein, unknown function
PBANKA_0825500	1	conserved Plasmodium protein, unknown function
PBANKA_0825900	1	conserved Plasmodium protein, unknown function
PBANKA_0826900	1	protein kinase, putative
PBANKA_0828100	1	fumarate hydratase, putative
PBANKA_0828400	1	RNA-binding protein, putative
PBANKA_0828500	1	serine/threonine protein phosphatase 4
PBANKA_0831400	1	conserved Plasmodium protein, unknown function
PBANKA_0831500	1	conserved Plasmodium protein, unknown function
PBANKA_0832300	1	conserved Plasmodium protein, unknown function
PBANKA_0834100	1	conserved Plasmodium protein, unknown function
PBANKA_0835400	1	conserved Plasmodium protein, unknown function
PBANKA_0835500	1	UBX domain-containing protein, putative
PBANKA_0836100	1	phosphatidylinositol N-acetylglucosaminyltransferase subunit P, putative
PBANKA_0836500	1	conserved rodent malaria protein, unknown function
PBANKA_0836700	1	fam-a protein
PBANKA_0836800	1	erythrocyte membrane associated protein 1
PBANKA_0901600	1	protein farnesyltransferase subunit beta, putative
PBANKA_0901900	1	tubulin--tyrosine ligase, putative
PBANKA_0902300	1	conserved Plasmodium protein, unknown function
PBANKA_0902900	1	conserved protein, unknown function
PBANKA_0903000	1	ribosome assembly protein 4, putative
PBANKA_0903200	1	conserved Plasmodium protein, unknown function
PBANKA_0904200	1	conserved Plasmodium protein, unknown function
PBANKA_0904300	1	apicoplast import protein Tic20, putative
PBANKA_0905300	1	conserved Plasmodium protein, unknown function
PBANKA_0905700	1	DNA-directed RNA polymerases I and III subunit RPAC1, putative
