Geneid	groups	description
PBANKA_1114300	3	MORN repeat protein, putative
PBANKA_1120900	3	conserved Plasmodium protein, unknown function
PBANKA_1123800	3	GAS8-like protein, putative
PBANKA_1125300	3	conserved Plasmodium protein, unknown function
PBANKA_1125800	3	conserved Plasmodium protein, unknown function
PBANKA_1129600	3	TPH domain-containing protein, putative
PBANKA_1135500	3	high mobility group protein B4, putative
PBANKA_1137900	3	proliferating cell nuclear antigen 1, putative
PBANKA_1143100	3	CLAMP domain-containing protein, putative
PBANKA_1144000	3	26S proteasome regulatory subunit RPN11, putative
PBANKA_1145900	3	membrane associated histidine-rich protein 1b
PBANKA_1200400	3	PIR protein
PBANKA_1203500	3	conserved Plasmodium protein, unknown function
PBANKA_1205100	3	PPPDE peptidase, putative
PBANKA_1205300	3	roadblock/LC7 domain-containing protein, putative
PBANKA_1206900	3	tubulin beta chain, putative
PBANKA_1208800	3	MORN repeat protein, putative
PBANKA_1224700	3	AAA family ATPase, putative
PBANKA_1226600	3	tubulin gamma chain, putative
PBANKA_1228800	3	protein kinase, putative
PBANKA_1232200	3	FACT complex subunit SPT16
PBANKA_1232600	3	doublecortin domain-containing protein, putative
PBANKA_1233600	3	secreted ookinete protein, putative
PBANKA_1238300	3	dynein light chain Tctex-type, putative
PBANKA_1243500	3	conserved protein, unknown function
PBANKA_1246600	3	cleft-like protein 1
PBANKA_1301600	3	vacuole membrane protein 1, putative
PBANKA_1301700	3	splicing factor 3A subunit 1, putative
PBANKA_1302300	3	metacaspase-2, putative
PBANKA_1302600	3	DNA primase small subunit, putative
PBANKA_1305300	3	FACT complex subunit SSRP1, putative
PBANKA_1306000	3	replication factor A protein 3, putative
PBANKA_1306200	3	tRNA import protein tRIP
PBANKA_1307900	3	conserved Plasmodium protein, unknown function
PBANKA_1308600	3	fructose-bisphosphate aldolase 2
PBANKA_1317400	3	HSP90 co-chaperone p23, putative
PBANKA_1318900	3	methyltransferase, putative
PBANKA_1319100	3	hemolysin III, putative
PBANKA_1319600	3	polyprenol reductase, putative
PBANKA_1325700	3	thioredoxin-like protein
PBANKA_1326100	3	conserved Plasmodium protein, unknown function
PBANKA_1327100	3	rhoptry neck protein 11
PBANKA_1328200	3	conserved Plasmodium protein, unknown function
PBANKA_1330900	3	conserved Plasmodium protein, unknown function
PBANKA_1331600	3	leucine-rich repeat protein
PBANKA_1333000	3	conserved Plasmodium protein, unknown function
PBANKA_1333100	3	protein MGET, putative
PBANKA_1334100	3	proteasome subunit beta type-2, putative
PBANKA_1335800	3	protein disulfide-isomerase, putative
PBANKA_1336400	3	DnaJ protein, putative
PBANKA_1340400	3	lactate dehydrogenase, putative
PBANKA_1343300	3	proteasome subunit beta type-7, putative
PBANKA_1344200	3	conserved Plasmodium protein, unknown function
PBANKA_1348800	3	conserved protein, unknown function
PBANKA_1348900	3	chaperone binding protein, putative
PBANKA_1352100	3	SprT-like domain-containing protein, putative
PBANKA_1359600	3	6-cysteine protein
PBANKA_1360500	3	ethanolamine-phosphate cytidylyltransferase
PBANKA_1360600	3	leucine-rich repeat protein
PBANKA_1361500	3	WD repeat-containing protein 16, putative
PBANKA_1363900	3	conserved protein, unknown function
PBANKA_1365100	3	conserved Plasmodium protein, unknown function
PBANKA_1400011	3	PIR protein, pseudogene
PBANKA_1400100	3	PIR protein
PBANKA_1402200	3	tetratricopeptide repeat protein, putative
PBANKA_1402400	3	Sld5 domain-containing protein, putative
PBANKA_1406600	3	CCAAT-binding transcription factor, putative
PBANKA_1409600	3	meiosis-specific nuclear structural protein 1, putative
PBANKA_1417000	3	conserved Plasmodium protein, unknown function
PBANKA_1417100	3	conserved Plasmodium protein, unknown function
PBANKA_1418400	3	ATP-dependent Clp protease adapter protein ClpS, putative
PBANKA_1418600	3	conserved protein, unknown function
PBANKA_1419200	3	RNA-binding protein, putative
PBANKA_1420700	3	MAATS1 domain-containing protein, putative
PBANKA_1421000	3	calmodulin, putative
PBANKA_1421100	3	transcription elongation factor s-II, putative
PBANKA_1421400	3	C-Myc-binding protein, putative
PBANKA_1429100	3	conserved Plasmodium protein, unknown function
PBANKA_1431500	3	radial spoke head protein 9, putative
PBANKA_1432400	3	perforin-like protein 2
PBANKA_1437600	3	glideosome-associated protein 45, putative
PBANKA_1441700	3	parasitophorous vacuolar protein 2
PBANKA_1448900	3	DNA polymerase epsilon subunit B, putative
PBANKA_1449000	3	microgamete surface protein MiGS, putative
PBANKA_1452000	3	hydrolase, putative
PBANKA_1455100	3	replication factor C subunit 4, putative
PBANKA_1455800	3	GAS8-like protein, putative
PBANKA_1457800	3	ADP-ribosylation factor GTPase-activating protein 1, putative
PBANKA_1459400	3	clathrin adaptor domain-containing protein, putative
PBANKA_1465841	3	fam-b protein
PBANKA_1465921	3	PIR protein
PBANKA_0001101	4	PIR protein
PBANKA_0103400	4	glyoxalase I-like protein GILP, putative
PBANKA_0104200	4	calcium-binding protein, putative
PBANKA_0104500	4	conserved Plasmodium protein, unknown function
PBANKA_0105700	4	MYND-type zinc finger protein, putative
PBANKA_0106000	4	G-protein associated signal transduction protein, putative
PBANKA_0201600	4	early transcribed membrane protein
PBANKA_0204200	4	tubulin-specific chaperone a, putative
PBANKA_0204600	4	photosensitized INA-labeled protein PHIL1
PBANKA_0204900	4	DnaJ domain-containing protein, putative
PBANKA_0206900	4	pre-rRNA-processing protein TSR2, putative
PBANKA_0207100	4	EF hand domain-containing protein, putative
PBANKA_0213300	4	1-cys peroxiredoxin, putative
PBANKA_0214100	4	conserved protein, unknown function
PBANKA_0303400	4	RNA-binding protein, putative
PBANKA_0304400	4	merozoite surface protein 4/5
PBANKA_0307000	4	60S ribosomal protein L37ae, putative
PBANKA_0309500	4	secreted protein with altered thrombospondin repeat domain
PBANKA_0314200	4	calcium-dependent protein kinase 1
PBANKA_0315200	4	small nuclear ribonucleoprotein Sm D2, putative
PBANKA_0315300	4	patatin-like phospholipase, putative
PBANKA_0315600	4	40S ribosomal protein S30, putative
PBANKA_0400700	4	fam-a protein, pseudogene
PBANKA_0404700	4	glutaredoxin 1, putative
PBANKA_0405200	4	T-complex protein 1 subunit beta, putative
PBANKA_0409700	4	plasmepsin VI, putative
PBANKA_0410600	4	60S ribosomal protein L26, putative
PBANKA_0412200	4	conserved Plasmodium protein, unknown function
PBANKA_0414600	4	40S ribosomal protein S15A, putative
PBANKA_0501200	4	early transcribed membrane protein
PBANKA_0502900	4	conserved Plasmodium protein, unknown function
PBANKA_0503400	4	conserved Plasmodium protein, unknown function
PBANKA_0505400	4	conserved Plasmodium protein, unknown function
PBANKA_0507700	4	conserved Plasmodium protein, unknown function
PBANKA_0508700	4	conserved Plasmodium protein, unknown function
PBANKA_0510900	4	40S ribosomal protein S2, putative
PBANKA_0511800	4	centrin-3, putative
PBANKA_0512700	4	conserved Plasmodium protein, unknown function
PBANKA_0516300	4	DER1-like protein, putative
PBANKA_0520200	4	ADP/ATP transporter on adenylate translocase, putative
PBANKA_0602800	4	ubiquitin-conjugating enzyme E2, putative
PBANKA_0603700	4	conserved protein, unknown function
PBANKA_0609900	4	heat shock protein DNAJ homologue Pfj4, putative
PBANKA_0610900	4	HSP40, subfamily A, putative
PBANKA_0611700	4	conserved protein, unknown function
PBANKA_0617100	4	60S ribosomal protein L11a, putative
PBANKA_0617300	4	conserved protein, unknown function
PBANKA_0617700	4	conserved protein, unknown function
PBANKA_0621000	4	dynactin subunit 5, putative
PBANKA_0621200	4	metallo-hydrolase/oxidoreductase, putative
PBANKA_0621900	4	mitochondrial import inner membrane translocase subunit TIM14, putative
PBANKA_0622700	4	mago nashi protein homologue, putative
PBANKA_0623000	4	Plasmodium exported protein, unknown function
PBANKA_0700500	4	fam-a protein
PBANKA_0706000	4	Fe-S cluster assembly protein DRE2, putative
PBANKA_0709000	4	protein transport protein SEC61 subunit beta, putative
PBANKA_0713300	4	histidine triad nucleotide-binding protein 1, putative
PBANKA_0714500	4	HAP2-GCS1 domain-containing protein, putative
PBANKA_0718800	4	small GTP-binding protein sar1, putative
PBANKA_0720600	4	trafficking protein particle complex subunit 3, putative
PBANKA_0720800	4	RNA-binding protein NOB1, putative
PBANKA_0721700	4	ran-specific GTPase-activating protein 1, putative
PBANKA_0800400	4	conserved Plasmodium protein, unknown function
PBANKA_0803400	4	40S ribosomal protein S29, putative
PBANKA_0807600	4	40S ribosomal protein S11, putative
PBANKA_0807700	4	kinesin-5, putative
PBANKA_0809000	4	translation initiation factor SUI1, putative
PBANKA_0811700	4	SNARE protein, putative
PBANKA_0813500	4	SAP domain-containing protein, putative
PBANKA_0816100	4	SUMO-conjugating enzyme UBC9, putative
PBANKA_0816200	4	ribonuclease H2 subunit C, putative
PBANKA_0822600	4	conserved protein, unknown function
PBANKA_0826400	4	zinc binding protein (Yippee), putative
PBANKA_0828800	4	cytochrome c oxidase subunit 6B, putative
PBANKA_0832500	4	PIH1 domain-containing protein, putative
PBANKA_0833000	4	profilin
PBANKA_0835300	4	V-type proton ATPase subunit E, putative
PBANKA_0904700	4	60S ribosomal protein L41, putative
PBANKA_0905500	4	conserved Plasmodium protein, unknown function
PBANKA_0906400	4	60S ribosomal protein L35ae, putative
PBANKA_0915600	4	aquaglyceroporin
PBANKA_0917000	4	conserved Plasmodium protein, unknown function
PBANKA_0920600	4	TFIIS central domain-containing protein, putative
PBANKA_0921500	4	small nuclear ribonucleoprotein F, putative
PBANKA_0921600	4	alternative splicing factor SR-MG
PBANKA_0922400	4	XTBD domain-containing protein, putative
PBANKA_0925000	4	RING zinc finger protein, putative
PBANKA_0928200	4	conserved protein, unknown function
PBANKA_0929200	4	conserved protein, unknown function
PBANKA_0930000	4	AP-1 complex subunit sigma, putative
PBANKA_0930300	4	GTP-binding nuclear protein RAN/TC4, putative
PBANKA_0932300	4	AP2 domain transcription factor, putative
PBANKA_0934500	4	protein tyrosine phosphatase
PBANKA_0935700	4	Josephin domain-containing protein, putative
PBANKA_0941500	4	40S ribosomal protein S4, putative
PBANKA_0943600	4	60S acidic ribosomal protein P1, putative
PBANKA_1003700	4	conserved protein, unknown function
PBANKA_1012400	4	RNA methyltransferase, putative
PBANKA_1012700	4	conserved Plasmodium protein, unknown function
PBANKA_1013100	4	60S ribosomal protein L14, putative
PBANKA_1013700	4	ribosomal protein L17, mitochondrial, putative
PBANKA_1013800	4	cytochrome c oxidase subunit 2B, putative
PBANKA_1018600	4	60S ribosomal protein L21, putative
PBANKA_1020900	4	ERAD-associated E3 ubiquitin-protein ligase HRD1, putative
PBANKA_1022000	4	40S ribosomal protein S25, putative
PBANKA_1023700	4	conserved Plasmodium protein, unknown function
PBANKA_1026800	4	zinc finger protein, putative
PBANKA_1028400	4	60S ribosomal protein L10, putative
PBANKA_1029500	4	conserved Plasmodium protein, unknown function
PBANKA_1029600	4	conserved Plasmodium protein, unknown function
PBANKA_1030300	4	nuclear transport factor 2, putative
PBANKA_1031600	4	ribosome maturation protein SBDS, putative
PBANKA_1032100	4	rhoptry-associated protein 1
PBANKA_1032500	4	ER membrane protein complex subunit 2, putative
PBANKA_1032900	4	conserved Plasmodium protein, unknown function
PBANKA_1036300	4	RNA-binding protein, putative
PBANKA_1103400	4	60S ribosomal protein L31, putative
PBANKA_1105400	4	small ubiquitin-related modifier, putative
PBANKA_1108800	4	leucine-rich repeat protein
PBANKA_1110500	4	translationally-controlled tumor protein homolog
PBANKA_1111600	4	prefoldin subunit 6, putative
PBANKA_1117500	4	ribosomal protein L27a, putative
PBANKA_1117800	4	rhomboid protease ROM10
PBANKA_1118000	4	heptatricopeptide repeat-containing protein, putative
PBANKA_1118600	4	cell division cycle protein 48 homologue, putative
PBANKA_1122800	4	ribonuclease H2 subunit A, putative
PBANKA_1122900	4	hexokinase, putative
PBANKA_1131000	4	V-type proton ATPase 21 kDa proteolipid subunit, putative
PBANKA_1131100	4	adenylosuccinate synthetase, putative
PBANKA_1133800	4	DNA helicase, putative
PBANKA_1133900	4	conserved protein, unknown function
PBANKA_1138000	4	cytochrome c oxidase subunit ApiCOX24, putative
PBANKA_1141700	4	ubiquitin-60S ribosomal protein L40, putative
PBANKA_1142900	4	suppressor of kinetochore protein 1, putative
PBANKA_1205000	4	G-strand-binding protein 2
PBANKA_1208900	4	ankyrin-repeat protein, putative
PBANKA_1210700	4	cytochrome b-c1 complex subunit 7, putative
PBANKA_1214300	4	enolase, putative
PBANKA_1216500	4	peptidyl-prolyl cis-trans isomerase, putative
PBANKA_1217600	4	histone H2A.Z, putative
PBANKA_1218500	4	protein phosphatase inhibitor 2, putative
PBANKA_1218900	4	elongation factor 1-delta, putative
PBANKA_1219200	4	Cg8 protein, putative
PBANKA_1222400	4	ubiquitin regulatory protein, putative
PBANKA_1223500	4	DNA helicase PSH3, putative
PBANKA_1224800	4	conserved protein, unknown function
PBANKA_1226500	4	proteasome subunit beta type-4, putative
PBANKA_1230500	4	THO complex subunit 4, putative
PBANKA_1231000	4	40S ribosomal protein S11, putative
PBANKA_1231700	4	60S ribosomal protein L2, putative
PBANKA_1231800	4	60S ribosomal protein L12, putative
PBANKA_1233100	4	proteasome subunit beta type-1, putative
PBANKA_1234000	4	V-type proton ATPase 16 kDa proteolipid subunit, putative
PBANKA_1234800	4	40S ribosomal protein S9, putative
PBANKA_1238100	4	cytochrome c oxidase subunit ApiCOX18, putative
PBANKA_1238200	4	DnaJ protein, putative
PBANKA_1239200	4	ribosome-interacting GTPase 1, putative
PBANKA_1242300	4	Hsc70-interacting protein, putative
PBANKA_1242500	4	ATP-dependent RNA helicase DDX41, putative
PBANKA_1242800	4	eukaryotic translation initiation factor 3 subunit E, putative
PBANKA_1244400	4	conserved Plasmodium protein, unknown function
PBANKA_1303800	4	triosephosphate isomerase, putative
PBANKA_1310400	4	centrin-2, putative
PBANKA_1311100	4	ribosomal protein S14, mitochondrial, putative
